,HUNDRED_BLOCK,HUNDRED_BLOCK_GEOCODED
408,101A AVE / 150TH ST,"[-122.8064581, 49.1866305]"
409,101A AVE / 153RD ST,"[-122.7981087, 49.1870196]"
410,101A AVE / 154TH ST,"[-122.795345, 49.1872915]"
411,101A AVE / 155TH ST,"[-122.7925742, 49.1872496]"
412,101A AVE / 160TH ST,"[-122.7785828, 49.1870374]"
413,101A AVE / SEMIAHMOO RD,"[-122.8615344, 49.1872259]"
414,101B AVE / 121ST ST,"[-122.887085, 49.1876016]"
415,101ST AVE / 120TH ST,"[-122.8900579, 49.1864279]"
416,101ST AVE / 132ND ST,"[-122.8565116, 49.1862055]"
417,101ST AVE / 137A ST,"[-122.8417386, 49.1860985]"
418,101ST AVE / 139TH ST,"[-122.8371841, 49.1860433]"
419,101ST AVE / 142ND ST,"[-122.8286554, 49.186034]"
420,101ST AVE / 143RD ST,"[-122.8259177, 49.1860497]"
421,101ST AVE / 144TH ST,"[-122.8231098, 49.1861093]"
422,101ST AVE / 146TH ST,"[-122.8176072, 49.1861171]"
423,101ST AVE / 148TH ST,"[-122.8120659, 49.1861101]"
424,101ST AVE / 150TH ST,"[-122.8064601, 49.1861413]"
425,101ST AVE / 152ND ST,"[-122.8010223, 49.1861439]"
426,101ST AVE / 153RD ST,"[-122.7981472, 49.1861432]"
427,101ST AVE / 154TH ST,"[-122.7953619, 49.1861523]"
428,101ST AVE / 177A ST,"[-122.7307333, 49.186203]"
429,101ST AVE / MALL ACCESS,"[-122.8038578, 49.1861425]"
430,101ST AVE / SEMIAHMOO RD,"[-122.861033, 49.1864238]"
431,101ST AVE / WHALLEY BLVD,"[-122.843211, 49.1861102]"
432,10200  127A ST,"[-122.8698895, 49.1880221]"
433,10200  135A ST,"[-122.847391, 49.1436161]"
434,10200  150TH ST,"[-122.8063499, 49.1888646]"
435,10200  152ND ST,"[-122.8006234, 49.187953]"
436,10200  156TH ST,"[-122.7897428, 49.1879641]"
437,10200  168TH ST,"[-122.7564245, 49.1886994]"
438,10200  CITY PKWY,"[-122.8476896, 49.1879307]"
439,10200  UNIVERSITY DR,"[-123.4729812, 48.4358412]"
440,10200  WHALLEY BLVD,"[-122.8431759, 49.1877987]"
441,10200 120TH ST,"[-122.8900022, 49.1881422]"
442,10200 120TH ST ,"[-122.8900022, 49.1881422]"
443,10200 121ST ST,"[-122.8870286, 49.1881376]"
444,10200 121ST ST ,"[-122.8870286, 49.1881376]"
445,10200 121ST ST     ,"[-122.8870286, 49.1881376]"
446,10200 122ND ST,"[-122.8839765, 49.188136]"
447,10200 122ND ST ,"[-122.8839765, 49.188136]"
448,10200 122ND ST     ,"[-122.8839765, 49.188136]"
449,10200 123A ST ,"[-122.8808933, 49.1889128]"
450,10200 124A ST,"[-122.876793, 49.1882908]"
